Survived,Age,Fare,Pclass,Sex,Embarked,FamilyType,Title
0,34,13.0,2,male,S,Alone,Mr
0,50,13.0,2,male,S,Alone,Mr
1,27,53.1,1,male,S,Medium,Mr
0,20,8.6625,3,male,S,Alone,Mr
1,30,21.0,2,female,S,Medium,Mrs
1,29,7.7375,3,female,Q,Alone,Miss
0,25,26.0,2,male,S,Medium,Mr
0,25,7.925,3,female,S,Medium,Miss
0,11,18.7875,3,male,C,Alone,Mr
0,29,0.0,2,male,S,Alone,Mr
0,23,13.0,2,male,S,Alone,Mr
0,23,13.0,2,male,S,Alone,Mr
0,28,16.1,3,male,S,Alone,Mr
0,48,34.375,3,female,S,Large,Mrs
0,29,7.8958,3,male,S,Alone,Mr
0,29,7.8958,3,male,S,Alone,Mr
1,29,30.0,1,male,S,Alone,Mr
0,24,16.1,3,male,S,Medium,Mr
1,31,7.925,3,male,S,Alone,Mr
0,16,20.25,3,male,S,Medium,Mr
1,30,13.0,2,female,S,Alone,Miss
0,19,53.1,1,male,S,Medium,Mr
0,31,7.75,3,male,Q,Alone,Mr
1,4,23.0,2,female,S,Medium,Miss
1,6,12.475,3,male,S,Medium,Master
0,33,9.5,3,male,S,Alone,Mr
0,23,7.8958,3,male,S,Alone,Mr
1,48,65.0,2,female,S,Medium,Mrs
1,0,14.5,2,male,S,Medium,Master
0,28,7.7958,3,male,S,Alone,Mr
0,18,11.5,2,male,S,Alone,Mr
0,34,8.05,3,male,S,Alone,Mr
0,29,14.5,3,male,S,Alone,Mr
0,41,7.125,3,male,S,Alone,Mr
1,20,7.2292,3,male,C,Alone,Mr
0,16,7.775,3,male,S,Alone,Mr
0,29,39.6,1,male,C,Alone,Rare
0,30,7.75,3,female,Q,Alone,Miss
0,29,24.15,3,male,Q,Medium,Mr
0,32,8.3625,3,male,S,Alone,Mr
0,24,9.5,3,male,S,Alone,Mr
0,48,7.8542,3,male,S,Alone,Mr
0,57,10.5,2,female,S,Alone,Mrs
0,29,7.225,3,male,C,Alone,Mr
1,54,23.0,2,female,S,Large,Mrs
0,18,7.75,3,male,S,Alone,Mr
0,29,7.75,3,male,Q,Alone,Mr
1,5,12.475,3,female,S,Alone,Miss
0,29,7.7375,3,male,Q,Alone,Mr
1,13,7.2292,3,female,C,Alone,Miss
1,17,57.0,1,female,S,Medium,Mrs
0,29,30.0,1,male,S,Alone,Mr
0,29,23.45,3,male,S,Medium,Mr
0,25,7.05,3,male,S,Alone,Mr
0,25,7.25,3,male,S,Alone,Mr
1,18,7.4958,3,female,S,Alone,Miss
0,8,29.125,3,male,Q,Large,Master
1,1,20.575,3,male,S,Medium,Master
0,29,7.75,3,male,Q,Alone,Mr
0,16,26.0,2,male,S,Alone,Mr
0,29,30.6958,1,male,C,Alone,Mr
0,25,7.8958,3,male,S,Alone,Mr
0,39,13.0,2,male,S,Alone,Mr
1,49,25.9292,1,female,S,Alone,Rare
1,31,8.6833,3,female,S,Alone,Mrs
0,30,7.2292,3,male,C,Alone,Mr
0,30,24.15,3,female,S,Medium,Mrs
0,34,13.0,2,male,S,Alone,Mr
1,31,26.25,2,female,S,Medium,Mrs
1,0,8.5167,3,male,C,Medium,Master
1,27,6.975,3,male,S,Alone,Mr
0,31,7.775,3,male,S,Alone,Mr
0,39,0.0,1,male,S,Alone,Mr
0,18,7.775,3,female,S,Alone,Miss
0,39,13.0,2,male,S,Alone,Mr
1,33,53.1,1,female,S,Medium,Mrs
0,26,7.8875,3,male,S,Alone,Mr
0,39,24.15,3,male,S,Alone,Mr
0,35,10.5,2,male,S,Alone,Mr
0,6,31.275,3,female,S,Large,Miss
0,30,8.05,3,male,S,Alone,Mr
0,29,0.0,1,male,S,Alone,Mr
0,23,7.925,3,female,S,Alone,Miss
0,31,37.0042,2,male,C,Medium,Mr
0,43,6.45,3,male,S,Alone,Mr
0,10,27.9,3,male,S,Large,Master
1,27,8.6625,3,male,S,Alone,Mr
0,38,0.0,1,male,S,Alone,Rare
1,27,12.475,3,female,S,Medium,Mrs
0,2,39.6875,3,male,S,Large,Master
0,29,6.95,3,male,Q,Alone,Mr
0,29,56.4958,3,male,S,Alone,Mr
1,1,37.0042,2,male,C,Medium,Master
1,29,7.75,3,male,Q,Alone,Mr
1,15,14.4542,3,female,C,Medium,Mrs
1,0,18.75,2,male,S,Medium,Master
0,29,7.2292,3,male,C,Alone,Mr
0,23,7.8542,3,male,S,Alone,Mr
0,18,8.3,3,male,S,Alone,Mr
0,21,8.6625,3,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
1,32,56.4958,3,male,S,Alone,Mr
1,29,29.7,1,male,C,Alone,Mr
0,20,7.925,3,male,S,Alone,Mr
0,16,10.5,2,male,S,Alone,Mr
1,30,31.0,1,female,C,Alone,Miss
0,34,6.4375,3,male,C,Alone,Mr
0,17,8.6625,3,male,S,Alone,Mr
0,42,7.55,3,male,S,Alone,Mr
0,35,7.8958,3,male,C,Alone,Mr
0,28,33.0,2,male,S,Medium,Rare
0,4,31.275,3,male,S,Large,Master
0,9,15.2458,3,female,C,Medium,Miss
1,16,39.4,1,female,S,Medium,Miss
0,44,26.0,2,female,S,Medium,Mrs
1,18,9.35,3,female,S,Medium,Mrs
1,51,26.55,1,male,S,Alone,Mr
1,24,19.2583,3,female,C,Medium,Mrs
0,29,7.2292,3,male,C,Alone,Mr
0,41,14.1083,3,male,S,Medium,Mr
0,21,11.5,2,male,S,Medium,Mr
1,48,25.9292,1,female,S,Alone,Mrs
0,24,13.0,2,male,S,Alone,Mr
1,42,13.0,2,female,S,Alone,Mrs
1,27,13.8583,2,female,C,Medium,Miss
0,31,50.4958,1,male,S,Alone,Mr
0,29,9.5,3,male,S,Alone,Mr
1,4,11.1333,3,male,S,Medium,Master
0,26,7.8958,3,male,S,Alone,Mr
1,47,52.5542,1,female,S,Medium,Mrs
0,33,5.0,1,male,S,Alone,Mr
0,47,9.0,3,male,S,Alone,Mr
1,28,24.0,2,female,C,Medium,Mrs
1,15,7.225,3,female,C,Alone,Miss
0,20,9.8458,3,male,S,Alone,Mr
0,19,7.8958,3,male,S,Alone,Mr
0,29,7.8958,3,male,S,Alone,Mr
1,25,26.0,2,female,S,Medium,Mrs
0,33,7.8958,3,male,S,Alone,Mr
0,22,10.5167,3,female,S,Alone,Miss
0,28,10.5,2,male,S,Alone,Mr
0,25,7.05,3,male,S,Alone,Mr
0,39,29.125,3,female,Q,Large,Mrs
0,27,13.0,2,male,S,Alone,Rare
1,19,30.0,1,female,S,Alone,Miss
0,29,23.45,3,female,S,Medium,Miss
1,26,30.0,1,male,C,Alone,Mr
0,32,7.75,3,male,Q,Alone,Mr
